Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Oct 18,Average Prices Sep18,Average Prices Oct 17,%change Oct 18 over Sep 18,%change Oct 18 over Oct 17
Wheat,10 Kg,332.5,332.5,334.38,331.25,347.5,337.5,325,327.5,332.19,378.75,348.25,325,333.75,357.5,337.5,350,350,340.06,334.57,327.74,1.64,3.76
"Wheat Flour, Bag",10 Kg,392.5,388.75,382.5,390,392.5,397.5,355,381.25,389.38,441.25,420,383.75,375,397.5,400,410,390,393.35,387.9,374.81,1.41,4.95
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,102,65,87.5,60,83.32,85,65,78.75,82.46,53.75,87.5,60,77.14,76.72,70.34,0.55,9.67
Rice Irri-6 (Punjab/Sindh),1 Kg,60,57.5,60,47.5,57,60,70,49.38,47.5,53.85,48,52.5,39.44,60,57.5,50,55,54.42,54.29,50.73,0.24,7.27
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,40,35,40,35,42.85,42.85,41.12,0,4.21
"Beef With Bone, (AQ)",1 Kg,440.78,420.73,362.5,375,381.96,375,400,390,365,453.85,380,350,350,350.83,330,380,350,379.74,375.59,343.42,1.1,10.58
"Mutton, Average Quality",1 Kg,920.63,904.58,750,750,869.64,850,850,825,725,872.36,775,750,790,791.67,600,775,700,794.05,788.08,715.79,0.76,10.93
"Chicken Farm, Broiler, Live",1 Kg,154.55,144.89,137.5,141.69,138.5,142,140,155,144,179.62,168.28,172.5,157.5,153,165,165,190,155.83,118.31,125.23,31.71,24.44
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,80,80,77.21,85,70,83.33,67.5,94.19,94,80,90,91.67,82.5,95,80,85.51,85.51,82.5,0,3.65
Curd (Dahi),1 Kg,116.25,112.92,100,90,90,95,90,97.5,80,140.96,135,100,95,105.83,90,110,90,102.26,102.12,98.65,0.14,3.66
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,392.31,379.48,389.74,398.75,370,394.87,389.74,380,387.31,385.12,375.58,0.57,3.12
"Eggs Hen, Farm",Dozen,113.44,108.17,110.63,115,107,110.5,109.5,112.5,111,113.59,111.91,115.75,108.75,110.83,113.75,118.75,96.25,111.02,95.68,106.27,16.03,4.47
"Mustard Oil, Average Quality",1 Kg,240,231.67,170,160,183.93,200,195,184.17,170,184.62,160,150,190,220,165,190,200,187.91,187.91,183.98,0,2.14
"Cooking Oil, Tin, (SN)",2.5 Ltr,495,495,485,467,480,485,485,490,492.5,485.5,491,480,482.5,485,492,465,460,483.26,480.65,468.38,0.54,3.18
"Vegetable Ghee, Tin, (SN)",2.5 Kg,480,480,480,470,470,480,475,480,480,480.5,486,480,472.5,480,482.25,465,455,476.25,475.12,459.63,0.24,3.62
Vegetable Ghee (Loose),1 Kg,156.25,152.77,150,152.5,148.59,144.63,144,158.75,158.5,155.63,180,145,130,167.6,168.75,150,126.25,152.31,150.66,145.85,1.1,4.43
Bananas,Dozen,109.54,80.32,51.25,53.75,73.21,45,46.25,63.34,65,56.01,46.25,48.75,46.88,75,57.5,75,63.75,62.16,66.37,62.21,-6.34,-0.08
"Pulse Masoor, Washed",1 Kg,131.25,112.92,147.5,150,133.93,130,140,100.83,105,99.81,97.5,95,96.25,90,100,120,100,114.71,113.82,121.82,0.78,-5.84
"Pulse Moong, Washed",1 Kg,131.88,114.58,100,115,123.93,125,105,101.25,120,119.62,116.25,125,110,104.58,100,147.5,100,115.27,114.31,120.38,0.84,-4.24
"Pulse Mash, Washed",1 Kg,149.38,141.67,140,150,157.14,151.25,175,120,125,120.19,115.78,120,110,120.84,122.5,196.25,195,141.76,144.54,178.53,-1.92,-20.6
"Pulse Gram, Washed",1 Kg,136.25,130,110,110,118.93,115,105,117.92,120,120.19,119.06,115,112.5,118.33,115,141.25,125,119.38,118.99,123.04,0.33,-2.97
Potatoes,1 Kg,45,39.17,40,40,32.55,39.38,35,31.88,29.38,26.2,25.63,20.63,21.25,32.5,31.25,30,29.5,32.31,32.25,40.46,0.19,-20.14
Onions,1 Kg,50.63,44.58,36.25,40,33.13,36.88,28.75,31.46,40,33.1,29.07,26.88,34.38,40,36.88,37.5,25,35.56,38,79.08,-6.42,-55.03
Tomatoes,1 Kg,92.03,79.27,92.5,90,78.22,73.13,66.25,65.21,71.25,68.51,47.35,56.25,70,57.92,61.25,67.5,45,69.51,72.46,112.91,-4.07,-38.44
"Sugar, Refined",1 Kg,60.5,56.67,54.75,54.25,56.64,53.56,53.25,52.5,55,54.6,54.19,52.5,52,54.67,55,55.75,55.5,54.78,54.99,54.28,-0.38,0.92
"Gur, Average Quality",1 Kg,109.38,98.33,75,75,89.47,90,80,80,77.5,100.91,85,80,81.25,86.67,82.5,90,85,86.24,85.72,85.15,0.61,1.28
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,11.25,20,10,10,10,12,12,15,10,10,15,12,10,10,12.13,11.99,11,1.17,10.27
"Red Chilly Powder, Loose",1 Kg,397.5,383.75,320,320,332.86,380,447.5,276.67,290,360.29,400,345,265,359.17,350,310,290,342.81,340.21,256.73,0.76,33.53
Garlic,1 Kg,192.5,133.13,101.25,120,121.43,117.5,100,106.67,117.5,149.95,102.5,105,86.25,155.42,125,185,143.75,127.23,122.91,170.34,3.51,-25.31
"Tea, Lipton Yellow Label, Packet",200 gm,205.26,205.26,205.26,205.26,206,205.26,205.26,205.26,205,205.26,205.26,200,205.26,205.26,205.26,205.26,194.73,204.36,204.05,180.49,0.15,13.23
"Cooked Beef, Average Hotel",Plate,128.13,117.92,121.25,130,115,150,120,100,125,99.23,95,100,100,120,105,90,140,115.09,114.56,95.93,0.46,19.97
