Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Jun 18,Average Prices May 18,Average Prices Jun 17,%change Jun 18 over May 18,%change Jun 18 over Jun 17
Wheat,10 Kg,325.63,325.63,312.5,325,327.5,326.25,298.75,320,324.06,362.5,329.38,312.5,300,332.5,322.5,350,350,326.16,321.05,323.68,1.59,0.77
"Wheat Flour, Bag",10 Kg,370.86,347.3,345,337.5,350,375,321.25,302.5,314.38,418.56,400,367.5,355,368.96,392.5,400,378.75,361.47,354.18,366.76,2.06,-1.44
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,65,65,74.82,95,60,87.5,60,80.51,82.5,65,75,82.33,53.75,87.5,60,74.51,74.64,68.76,-0.17,8.36
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,60,47.5,57,60,70,50,47.5,53.27,48,52.5,35.5,48.21,57.5,50,55,53.22,52.93,49.68,0.55,7.13
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.56,41.12,0,3.5
"Beef With Bone, (AQ)",1 Kg,430.63,410,350,350,381.96,350,351.25,365,365,447.98,380,325,320,350.83,330,380,350,366.92,361.91,335.01,1.38,9.53
"Mutton, Average Quality",1 Kg,896.88,900,700,700,869.64,850,800,806.25,725,872.12,775,700,750,791.67,600,775,625,772.74,768.18,687.71,0.59,12.36
"Chicken Farm, Broiler, Live",1 Kg,204.44,190.32,189.25,190.5,179,180.75,178.75,196.88,187.5,204.28,197.5,202.5,182.5,201.75,230,226.25,233.75,198.58,188.06,152.69,5.59,30.05
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,85,70,82.5,67.5,94.19,94,80,87.5,87.5,82.5,95,80,84.8,84,81.39,0.95,4.19
Curd (Dahi),1 Kg,116.25,107.92,100,90,90,95,90,97.5,80,140.96,135,95,95,102.08,90,110,90,101.45,101.23,97.05,0.22,4.53
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,392,389.74,379.48,389.74,389.7,379.49,379.48,389.74,389.74,370,379.48,389.74,380,385.12,384.44,363.7,0.18,5.89
"Eggs Hen, Farm",Dozen,88.76,81.44,85,86.25,81,83.13,81.25,84.17,85,94.73,96.25,95,82.5,94.17,100,112.5,83.75,89.11,91.16,90.41,-2.25,-1.44
"Mustard Oil, Average Quality",1 Kg,240,231.67,160,160,183.93,200,191.25,184.17,170,185.58,160,144.75,190,220,165,190,178.75,185.59,184.42,181.45,0.63,2.28
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,485,467,480,480,485,480,475,491,478,473,480,475,483,465,460,476.88,476.49,469.59,0.08,1.55
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,480,470,470,475,475,475,470,486,473,460,470,475,475,465,455,471.41,470.38,462.53,0.22,1.92
Vegetable Ghee (Loose),1 Kg,152.81,150,145,145,144.36,139.38,143.75,155,155,154.19,180,145,130,160,165,150,120,149.09,148.34,144.77,0.51,2.98
Bananas,Dozen,195.16,153.54,126.25,125,149.29,100,102.5,116.67,135,87.74,94.85,90,90.88,125.83,138.75,117.5,78.75,119.28,112.25,115.4,6.26,3.36
"Pulse Masoor, Washed",1 Kg,124.53,108.75,140,150,133.93,110,155,100.83,105,102.12,91.25,95,72.5,83.84,100,125,90,111.04,112.45,127.41,-1.25,-12.85
"Pulse Moong, Washed",1 Kg,127.03,109.17,100,110,123.93,110,110,100,120,117.88,102.5,125,103.75,101.67,95,160,100,112.7,113.91,127.94,-1.06,-11.91
"Pulse Mash, Washed",1 Kg,155.63,144.17,150,150,184.64,160,175,124.17,125,121.54,107.5,120,101.25,119.33,122.5,215,230,147.4,147.5,193.24,-0.07,-23.72
"Pulse Gram, Washed",1 Kg,131.88,115,100,105,118.93,107.5,100,99.17,120,118.08,108.13,120,100,116,102.5,145,120,113.36,113.7,129.08,-0.3,-12.18
Potatoes,1 Kg,42.5,39.9,30,34.38,33.44,38.75,23.75,29.38,27.5,28.03,26.25,23.13,20,31.98,35,30,27,30.65,27.1,38.07,13.1,-19.49
Onions,1 Kg,49.06,41.46,30.63,36.25,35.76,31.88,28.75,29.17,30,28.63,32.5,30,28.75,30.84,33.75,32.5,28.25,32.83,28.83,29.02,13.87,13.13
Tomatoes,1 Kg,48.75,45.42,40,42.5,39.38,45,32.5,38.33,44.38,52.11,47.66,42.5,51.25,31.67,33.13,56.25,32.5,42.55,31.33,44.4,35.81,-4.17
"Sugar, Refined",1 Kg,58.47,54.63,53.13,54.25,54.64,53.25,52.5,52.75,53.5,54.3,52.25,52.5,52,53.79,53.75,55,52,53.69,52.64,56.48,1.99,-4.94
"Gur, Average Quality",1 Kg,109.38,98.33,70,70,84.29,75,70,67.5,70.63,82.41,76.25,65,67,86.67,82.5,87.5,86.25,79.34,78.66,84.27,0.86,-5.85
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,20,10,10,10,12,12,12,10,10,15,12,10,10,11.59,11.52,10.71,0.61,8.22
"Red Chilly Powder, Loose",1 Kg,366.56,340.11,370,335,298.4,342.5,428.75,290.83,270,313.82,320,250,262.5,241.67,341.25,310,290,315.96,280.77,263.54,12.53,19.89
Garlic,1 Kg,178.44,137.19,103.75,115,140,92.5,100,90.42,92.5,154.9,107.5,100,69.38,177.5,135,172.5,162.5,125.24,130.51,212.3,-4.04,-41.01
"Tea, Lipton Yellow Label, Packet",200 gm,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205.26,205,194.74,194.73,194.73,194.73,205.26,200,194.73,194.73,201.22,199.24,203.7,0.99,-1.22
"Cooked Beef, Average Hotel",Plate,115,113.33,120,130,115,135,100,100,125,96.06,80,100,100,120,105,90,140,110.85,110.69,93.51,0.14,18.54
"Cooked Daal, Average Hotel",Plate,78.75,75.83,45,60,67.32,55,50,40,60,61.54,60,70,65,60,50,65,80,61.38,61.38,56.94,0,7.8
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,25,25,27.5,15,20,21,20,21.48,21.48,20.75,0,3.52
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,50,55,50,50,50,55,60,50,50,51.18,51.18,56.52,0,-9.45
Long Cloth,1 mtr,225,215,162.5,160,267.5,237.5,245,260,250,180,240,300,200,333.33,250,210,195,231.23,224.4,209.97,3.04,10.13
Shirting,1 mtr,225.63,220,180,180,155,125,150,240,120,166.15,140,175,157.5,300,147.5,160,190,178.34,176.94,168.06,0.79,6.12
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,276.25,415,280,375,366.66,393,235,200,165,281.28,272.74,255.77,3.13,9.97
Georgette,1 mtr,165,162.92,150,140,135,160,140,105,110,121.54,120,150,130,123.33,100,105,117.5,131.49,131.49,125.22,0,5.01
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,179.09,0,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,502.39,0,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,131.88,129.38,119.5,123.5,125,110,110,110,128.75,136.03,118.75,123.75,137.5,113.33,119.75,95.75,95,119.29,117.06,78.81,1.91,51.36
Firewood Whole,40 Kg,787.5,741.67,750,700,764.29,600,550,646.67,625,651.92,550,400,450,729.17,500,650,550,626.25,626.25,609.09,0,2.82
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,180,170,180,150,171.18,171.18,167.79,0,2.02
"Washing Soap, (Nylon), (SN)",Cake,25,25,40,22,40,25,40,22,20,14,30,26,30,20,22.5,30,40,27.74,27.74,25.91,0,7.06
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,2,2,2.5,2.5,2,3,2,1.5,2.32,2.3,2.21,0.87,4.98
"Petrol, Super",1 Ltr,91.33,91.33,91.34,93.13,91.26,91.35,91.46,91.36,92.18,91.33,92,91.34,91.53,91.33,92.55,91.21,93.73,91.75,88.54,73.31,3.63,25.15
Hi Speed Diesel (HSD),1 Ltr,104.16,104.16,104.17,105.45,104.02,104.18,104.28,104.16,105.04,104.15,104.8,103.8,104.38,104.16,106.18,103.97,106.56,104.57,99.58,82.26,5.01,27.12
"LPG Cylinder, 11kg",Each,1407.5,1387.5,1196.25,1210,1196.25,1287.5,1237.5,1275,1320,1292.5,1320,1210,1320,1265,1225,1275,1175,1270.59,1222.88,987.09,3.9,28.72
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,38,38,38,38,38,42,42,38,38,38,38.25,38,40,38,40,42,42,39.19,39.18,41.41,0.03,-5.36
,50 Kg,543.75,541.25,560,552.5,577.5,568,543.75,550,560,606.44,600,580,590,551.67,542.5,570,500,561.02,,,,
Carpenter Wage Rate,Daily,1300,1300,825,825,1000,700,1200,1100,750,1292.31,1000,900,800,1000,1250,1000,1400,1037.78,,,,
Mason (Raj) Wage Rate,Daily,1300,1300,1150,1050,1075,1200,1200,1100,925,1265.38,1000,900,800,1200,1300,1200,1200,1127.38,,,,
Unskilled Labour Wage Rate,Daily,825,800,700,650,775,700,700,600,575,815.38,600,400,400,600,600,700,600,649.43,,,,
Plumber Wage Rate,Daily,1300,1300,800,700,975,750,1200,1100,750,1261.54,1000,900,600,1200,900,900,1400,1002.15,,,,
Electrician Charges,P/Point,220,215,140,140,165,115,135,100,115,211.54,100,87.5,135,100,92.5,160,100,137.15,,,,
CNG,1 Kg,73.21,72.31,72.95,70.74,71.56,70.72,73.49,70.18,71.86,81.69,81.7,81.7,79.99,89.9,92.65,84.9,,77.47,,,,
Sona Urea,50 Kg,,1550,1592.5,,1425,1575,1637.5,1517.5,1562.5,,1525,1517.5,1485,1572.5,1535,1550,,1541.92,,,,
Kissan Urea,50 Kg,,1487.5,1400,,1425,1565,1575,1497.5,1542.5,,,1517.5,,1510,1350,,,1487,,,,
Calc. Amonium Nitrate,50 Kg,,1300,1300,,1250,1362.5,1387.5,1292.5,1367.5,,1400,1250,1250,,,,,1316,,,,
"S.S Phosphate, Gr. 18%",50 Kg,,,900,,862.5,950,975,817.5,900,,950,,1200,900,,,,939.44,,,,
"S.S Phosphate, Pd. 18%",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
"Triple Sup. Phosph., Gr",50 Kg,,,,,,,,,,,,,,,,,,0,,,,
Sulphate of Potash,50 Kg,,,3500,,3500,3950,3500,,3500,,,,3950,3500,,,,3628.57,,,,
Nitro. Phosphate,50 Kg,,,2650,,2512.5,2600,2637.5,2542.5,2575,,2650,2557.5,2300,2600,,,,2562.5,,,,
DIA Amun. Phosphate,50 Kg,,3237.5,3250,,3225,3250,3281.25,3260,3300,,3250,3250,3200,3200,3310,3106.25,,3240,,,,
50 Kg,,2850,,,2650,2875,2587.5,2522.5,2800,,,,2690,2600,2625,2962.5,,2716.25,,,,,
