,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Jan 19,Average Prices Dec 18,Average Prices Jan 18,%change Jan 19 over Dec 18,%change Jan 19 over Jan 18 
Wheat,10 Kg,357.5,357.5,362.5,362.5,347.5,342,325,332.5,346,388,364.5,325,345,366,366,360,350,352.79,349.63,342.25,0.9,3.08
"Wheat Flour, Bag",10 Kg,393.5,392.41,380,390,392.5,398,365,378,390,450.85,420,390,382,391.16,400,410,390,394.91,394.54,388.39,0.09,1.68
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,95,65,87.5,60,85.54,85,65,77.5,84.17,53.75,93,80,78.38,78.03,72.51,0.45,8.1
Rice Irri-6 (Punjab/Sindh),1 Kg,61,59.08,60,47.5,57,60,70,50,47.5,56.81,53.5,55,40.75,56.67,60.5,57,53.75,55.65,54.76,51.79,1.63,7.45
"Bread Plain, Medium Size",Each,45,45,45,40,44.29,45,45,45,45,45.19,44,50,45,40,35,40,40,43.44,43.29,42.56,0.35,2.07
"Beef With Bone, (AQ)",1 Kg,456.88,442.08,375,440,381.96,375,400,390,365,460.92,390,400,390,358.83,350,380,400,397.39,387.64,346.57,2.52,14.66
"Mutton, Average Quality",1 Kg,930,922.92,800,880,869.64,850,875,825,725,882.3,800,750,825,811.83,600,775,750,815.98,806.24,733.32,1.21,11.27
"Chicken Farm, Broiler, Live",1 Kg,135.71,123.75,118,124,122.4,120,114,131.5,120,145.89,135.5,144,125,131.8,138,165,202,135.09,171.63,177.54,-21.29,-23.91
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,90,80,77.68,90,70,83.33,67.5,94.19,94,80,91,95,84.5,95,80,86.8,85.95,82.5,0.99,5.21
Curd (Dahi),1 Kg,116.25,112.92,100,90,91.5,97.5,90,97.5,80,141.65,135,100,95,106.67,94,110,90,102.82,102.34,98.78,0.47,4.09
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,410.25,410.25,410,400,400,389.74,416,390,410.25,400,400,405.44,403.45,381.03,0.49,6.41
"Eggs Hen, Farm",Dozen,116.13,108.78,116.75,115,109.2,109.7,110,111,110,119.3,119.63,125.6,112,118.33,120,133,122.5,116.29,117.1,113.41,-0.69,2.54
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,200,190,184.17,170,184.23,160,150,195,222,176,190,200,189.83,188.18,184.18,0.88,3.07
"Cooking Oil, Tin, (SN)",2.5 Ltr,520,520,520,520,515,520,520,520,520,510,506.2,510,500,507.4,515,515,460,511.68,505.06,469.97,1.31,8.88
"Vegetable Ghee, Tin, (SN)",2.5 Kg,495,495,495,495,506,495,495,495,495,490,488.4,490,490,492,490,488,455,491.14,488,462.93,0.64,6.09
Vegetable Ghee (Loose),1 Kg,159.06,155.63,155,155,155,149.4,146,160,160,160.42,195,145,130,167.5,170,194,125,157.77,156.99,145.64,0.5,8.33
Bananas,Dozen,124.38,98.33,60,65,69.64,55,54,78.33,65,67.04,51.5,55,47,72.67,66,74,69,68.93,64.36,70.46,7.1,-2.17
