Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Feb 19,Average Prices Jan 19,Average Prices  Feb 18 ,%change Feb 19 over Jan 19,%change Feb 19 over Feb 18 
Wheat,10 Kg,361.25,361.25,362.5,371.13,347.5,350,325,337.5,341.25,390,375,325,345,370,365,360,350,355.14,352.79,341.62,0.67,3.96
"Wheat Flour, Bag",10 Kg,393.75,393.33,380,390,392.5,395,365,380,390,451.16,420,387.5,385,390.83,400,415,390,395.24,394.91,385.91,0.08,2.42
"Rice Basmati Broken, (AQ)",1 Kg,96.88,89.38,70,70,74.82,88.75,65,87.5,60,85.58,85,65,77.5,84.17,53.75,95,80,78.14,78.38,73.49,-0.31,6.33
Rice Irri-6 (Punjab/Sindh),1 Kg,63.44,62.35,60,47.5,57,60,70,50,47.5,57.48,51.63,55,40.75,56.67,62.5,65,53.75,56.5,55.65,52.29,1.53,8.05
"Bread Plain, Medium Size",Each,45,45,45,40,44.29,45,45,45,45,45.19,44,50,45,42.5,35,40,40,43.59,43.44,42.56,0.35,2.42
"Beef With Bone, (AQ)",1 Kg,475.78,442.08,375,450,381.96,375,400,390,365,465.19,390,400,390,372.5,350,380,400,400.15,397.39,348.45,0.69,14.84
"Mutton, Average Quality",1 Kg,947.66,929.79,800,900,869.64,850,875,825,725,884.38,800,750,825,820.83,600,775,750,819.25,815.98,739.73,0.4,10.75
"Chicken Farm, Broiler, Live",1 Kg,154.36,142.97,143.5,149,145.5,149.5,146.25,148.75,142,160.6,151.8,160,130,155.25,146.25,168.75,185,151.73,135.09,165.36,12.32,-8.24
"Milk, Fresh, Unboiled",1 Ltr,102.5,100.83,90,80,78,90,70,83.33,67.5,94.19,94,80,95,95,85,95,80,87.08,86.8,82.5,0.32,5.55
Curd (Dahi),1 Kg,116.25,112.92,100,90,92.5,97.5,90,97.5,80,141.73,135,100,95,106.67,95,110,90,102.95,102.82,98.82,0.13,4.18
"Powdered Milk, Nido, Polybag",400 gm,410.26,410.26,410.26,410.26,410,405,410.25,410.25,410,400,400,389.74,425,390,410.25,400,400,405.97,405.44,383.08,0.13,5.98
"Eggs Hen, Farm",Dozen,112.27,104,105,110,105,106.63,105,101.25,104,116.45,115,117.5,106.25,115,120,132.5,122.5,111.67,116.29,101,-3.97,10.56
"Mustard Oil, Average Quality",1 Kg,246.25,241.67,170,160,187.86,215,190,184.17,170,184.23,160,150,195,226.67,182.5,190,200,191.37,189.83,184.08,0.81,3.96
"Cooking Oil, Tin, (SN)",2.5 Ltr,520,520,520,520,520,520,520,520,520,510,510,510,500,513,515,520,460,512.82,511.68,469.07,0.22,9.33
"Vegetable Ghee, Tin, (SN)",2.5 Kg,495,495,495,495,495,495,495,495,495,490,490,490,490,495,490,490,455,490.88,491.14,462.14,-0.05,6.22
Vegetable Ghee (Loose),1 Kg,159.06,157.09,155,155,155.75,152.25,150,163.5,163.75,161.73,195,145,130,169.58,170,195,125,158.98,157.77,145.53,0.77,9.24
Bananas,Dozen,133.29,103.65,72.5,76.25,73.04,65,55,88.54,73.75,70.34,52.5,60,58.75,71.67,65.31,72.5,73.75,74.46,68.93,77.27,8.02,-3.64
"Pulse Masoor, Washed",1 Kg,135.63,120,150,150,133.93,130,140,110,105,111.25,108.13,110,103.75,92.5,113.75,135,120,121.7,121.31,118.26,0.32,2.91
"Pulse Moong, Washed",1 Kg,137.35,128.75,120,120,123.93,130,125,118.75,120,133.94,129.53,135,118.75,112.08,111.25,147.5,117.5,125.25,125.51,118.09,-0.21,6.06
"Pulse Mash, Washed",1 Kg,167.5,157.5,155,160,157.14,153.75,180,150,140,149.81,137.19,140,136.25,131.67,130,180,175,152.99,152.97,154.94,0.01,-1.26
"Pulse Gram, Washed",1 Kg,142.19,134.9,115,108.75,120.71,125,118.75,120,130,134.33,121.88,125,117.5,128.33,115,150,135,126.02,126.14,117.04,-0.1,7.67
Potatoes,1 Kg,33.75,26.67,17.5,20,18.49,20,15,15.63,20,23.37,18.44,18.75,20.63,27.71,18.44,28.75,22.5,21.51,22.81,26.99,-5.7,-20.3
Onions,1 Kg,42.5,35,28.13,30,30.45,27.81,22.5,25,27.5,25.53,20.79,21.88,25.63,34.17,29.38,30,30,28.6,28.24,43.03,1.27,-33.53
Tomatoes,1 Kg,145.32,134.58,121.25,120,128.57,130.63,105,107.92,100,103.75,80.63,86.25,95,115.42,85.63,88.75,96.25,108.53,52.04,36.72,108.55,195.56
"Sugar, Refined",1 Kg,64.63,59.58,58.75,59,60.29,59,58,58,60,59.81,58.25,56.5,55.38,60,59.25,59.75,59.13,59.14,58.47,51.5,1.15,14.83
"Gur, Average Quality",1 Kg,105.63,93.33,80,81.25,105.71,85,75,78.75,80,98.94,91.41,82.5,77.5,87.5,83.75,87.5,87.5,87.13,85.13,78.55,2.35,10.92
"Salt Powder, Loose, Lahori",1 Kg,12,12,15,15,20,10,10,10,12,12,15,10,10,15,12,10,10,12.35,12.35,11.12,0,11.06
"Red Chilly Powder, Loose",1 Kg,397.5,355,320,320,315.36,390,432.5,276.67,310,374.9,396.25,392.5,275,356.67,358.75,350,290,347.71,347.66,257.75,0.01,34.9
Garlic,1 Kg,218.44,183.96,145,150,170.71,142.5,160,146.25,160,185.29,139.38,153.75,133.75,206.67,160,162.5,200,165.78,167.59,172.04,-1.08,-3.64
"Tea, Lipton Yellow Label, Packet",200 gm,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221.05,221,221.05,221.05,221.05,221.05,221.05,221.05,221.05,194.73,219.5,219.31,184.07,0.09,19.25
"Cooked Beef, Average Hotel",Plate,128.13,117.92,125,130,115,150,120,100,125,99.23,95,100,100,120,105,90,140,115.31,115.31,103.49,0,11.42
"Cooked Daal, Average Hotel",Plate,85,75.83,50,60,67.32,55,50,40,60,64.04,60,70,65,60,50,70,87.5,62.92,62.63,58.29,0.46,7.94
"Tea Prepared, Average Hotel",Cup,25.31,25,20,20,21.43,22.5,25,20,22.5,24.42,30,25,27.5,15,20,21,20,22.63,22.59,21.19,0.18,6.8
"Cigarettes, K-2, 20's",Packet,60,60,60,60,60,70,60,50,60,60,60,60,50,65,70,50,60,59.71,59.71,50.76,0,17.63
Long Cloth,1 mtr,225,215,172.5,160,285,237.5,275,285,250,180,240,375,200,350,250,210,180,240.59,240.59,214.02,0,12.41
Shirting,1 mtr,225.63,220,185,180,165,125,170,240,125,166.15,140,175,157.5,321,147.5,160,170,180.75,180.65,171.06,0.06,5.66
Lawn,1 mtr,240,220,217.5,220,305,280,393.34,200,383.5,415,280,393,366,393,235,200,165,288.61,288.61,255.77,0,12.84
Georgette,1 mtr,165,162.92,160,140,145,160,150,105,110,121.54,120,150,130,123.33,100,105,117.5,133.25,133.25,126.61,0,5.24
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,179.09,0,11.12
Sandal Bata (Ladies),Pair,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,599,502.39,0,19.23
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,145.08,,145.08,145.08,128.7,0,12.73
Kerosene Oil,1 Ltr,137.5,135,122,127,130,122.5,120,117.92,122.5,134.04,120,115,140,117.67,108,94,90,120.77,121.56,109.13,-0.65,10.67
Firewood Whole,40 Kg,787.5,741.67,775,750,810.71,600,550,716.67,650,667.31,600,400,450,729.17,500,650,625,647.24,646.35,633,0.14,2.25
Energy Saver (14 watts),Each,167.5,167.5,170,155,170,165,180,165,175,180,200,155,180,180,170,180,150,171.18,171.18,169.56,0,0.96
"Washing Soap, (Nylon), (SN)",Cake,30,30,40,22,45,30,45,22,20,14,30,28,30,20,25,35,40,29.76,29.26,25.91,1.71,14.86
"Match Box, Regular",Each,2,2,2,2,3,2.5,3,3,2.5,3,3,2.5,3,2,3,2,1.5,2.47,2.47,2.24,0,10.27
"Petrol, Super",1 Ltr,90.84,90.85,90.9,92.5,91.74,90.08,90.99,90.85,91.04,90.84,91.75,90.84,91.8,90.84,92.65,90.69,93.72,91.35,92.04,85.45,-0.75,6.9
Hi Speed Diesel (HSD),1 Ltr,107.15,107.15,107.2,108,107.03,107.15,107.3,107.85,107.87,107.14,107.82,107.2,107.8,107.1,109.2,106.98,110.07,107.65,107.7,96.81,-0.05,11.2
"LPG Cylinder, 11kg",Each,1455,1450,1278.75,1320,1237.5,1287.5,1300,1235,1292.5,1288.27,1402.5,1567.5,1485,1457.5,1275,1487.5,1500,1371.74,1550.49,1308.6,-11.53,4.83
Telephone Local Call,P/Call,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,3.94,0,18.02
"Soap, LifeBuoy",Each,40,40,40,40,40,42,42,40,40,40,40,40,40,40,40,42,42,40.47,40.47,39.65,0,2.07
