,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Dec 17,Average Prices  Nov 17,Average Prices Dec 16 ,%change Dec 17 over Nov 17,%change Dec 17 over Dec 16
Wheat,10 Kg,345,345,325,325,347.53,331.88,324.38,330,344.56,370.5,338.88,337.5,325,360,338.75,350,350,340.53,335.64,345.37,1.46,-1.4
"Wheat Flour, Bag",10 Kg,394.69,387.92,390,380,400,385,350,370,380,439.33,420,380,372.5,387.92,391.25,400,375,388.45,385.74,385.39,0.7,0.79
"Rice Basmati Broken, (AQ)",1 Kg,89.38,83.33,50,55,73.21,85,60,82.5,55,74.62,75.94,65,75,78.38,52.25,90,60,70.86,70.67,62.11,0.27,14.09
Rice Irri-6 (Punjab/Sindh),1 Kg,60,52.71,50,47.5,57,60,65,40,47.5,50.15,45,52.5,34,47.5,63.88,50,50,51.34,50.96,47.84,0.75,7.32
"Bread Plain, Medium Size",Each,45,45,40,40,44.29,45,45,45,45,45.19,44,50,45,35,35,40,35,42.56,42.44,41.12,0.28,3.5
"Beef With Bone, (AQ)",1 Kg,362.5,357.92,300,300,381.96,350,350,350,325,410.58,350,325,310,336.67,320,400,320,344.1,343.75,324.9,0.1,5.91
"Mutton, Average Quality",1 Kg,833.13,818.33,650,650,844.64,800,750,750,675,823.08,725,725,725,733.33,570,725,600,729.27,727.64,654.44,0.22,11.43
"Chicken Farm, Broiler, Live",1 Kg,177.17,162.27,158.25,164.25,155.75,162,158.75,167.08,161.25,187.85,177.27,178,146.88,175.75,167.5,161.25,175,166.84,130.25,133.29,28.09,25.17
"Milk, Fresh, Unboiled",1 Ltr,102.5,96.25,80,80,77.21,80,70,82.5,67.5,85,84,80,80,85,82.5,90,80,82.5,82.5,80.37,0,2.65
Curd (Dahi),1 Kg,116.25,107.92,100,90,87.86,95,90,92.5,80,130,120,95,95,97.5,90,100,90,98.65,98.65,94.08,0,4.86
"Powdered Milk, Nido, Polybag",400 gm,389.74,389.74,389.74,379.49,377.28,389.74,379.48,389.74,379.5,379.49,379.48,389.74,362.97,370,360.48,389.74,370,380.37,379.18,380.09,0.31,0.07
"Eggs Hen, Farm",Dozen,130.1,121.75,126.88,127.5,121,125.63,123,126.46,128.13,134.36,134.53,131.75,121.88,130.63,133.13,135,137.5,128.78,132.22,127.33,-2.6,1.14
"Mustard Oil, Average Quality",1 Kg,240,231.67,150,160,183.93,200,170,184.17,170,181.54,160,153.75,190,220,180,190,175,184.71,184.95,181.16,-0.13,1.96
"Cooking Oil, Tin, (SN)",2.5 Ltr,475,475,475,467,485,475,475,475,475,465,465,468,460,470,475,445,460,469.71,469.47,460.53,0.05,1.99
"Vegetable Ghee, Tin, (SN)",2.5 Kg,470,470,470,452,480,470,470,470,470,460,460,453,450,460,470,440,455,462.94,462.71,452.12,0.05,2.39
"Veg. Ghee, Loose/Pouch, (SN)",1 Kg,151.25,147.5,140,140,144.36,135.5,135.75,150,150,149.52,175,145,130,159.27,160,130,130,145.48,145.55,143.97,-0.05,1.05
Bananas,Dozen,131.25,93.75,67.5,70,68.93,46.25,50,68.34,55,55.72,46.88,57.5,53.75,72.92,58.13,62.5,61.25,65.86,61.91,66.54,6.38,-1.02
"Pulse Masoor, Washed",1 Kg,130,112.61,140,160,123.93,127.5,155,103.33,110,106.15,101.25,110,91.88,84.17,100,133.75,130,118.8,120.73,145.23,-1.6,-18.2
"Pulse Moong, Washed",1 Kg,130,124.58,100,110,108.93,105,100,100,110,116.58,112.5,125,120,88.96,95,156.25,135,113.99,116.97,141.23,-2.55,-19.29
"Pulse Mash, Washed",1 Kg,171.25,147.19,175,160,186.43,165,192.5,151.25,160,126.92,129.38,130,120,141.84,133.13,203.75,230,160.21,169.44,223.36,-5.45,-28.27
"Pulse Gram, Washed",1 Kg,131.25,128.33,100,100,113.93,105,105,108.54,120,122.6,119.06,120,126.88,116.67,110,152.5,135,118.52,120.77,170.4,-1.86,-30.45
Potatoes,1 Kg,54.38,48.75,44.38,44.38,47.05,45,35,44.17,42.5,36.25,36.72,37.5,34.38,33.79,41.88,40,38.5,41.45,42.08,34.48,-1.5,20.21
Onions,1 Kg,74.38,67.71,60,60,54.96,57.5,52.5,57.71,57.5,54.33,46.72,50,57.5,62.08,55.63,65,61.25,58.52,73.16,27.49,-20.01,112.88
Tomatoes,1 Kg,96.88,83.12,85.63,84.38,77.68,74.38,65,64.17,71.25,70.15,58.91,53.75,79.38,63.34,63.75,90,83.75,74.44,105.4,51.42,-29.37,44.77
"Sugar, Refined",1 Kg,58.13,55.75,54.13,54.75,56.79,52.88,52.25,52,52.75,55.25,52.47,51.75,52,54.54,52.75,54.75,53.5,53.91,53.68,63.68,0.43,-15.34
"Gur, Average Quality",1 Kg,109.38,98.33,80,85,93.21,71.88,70,71.67,62.5,93.37,79.38,70,73.13,91.25,91.88,90,97.5,84.03,83.93,86.46,0.12,-2.81
"Salt Powder, Loose, Lahori",1 Kg,12,12,10,10,16.5,10,10,10,12,12,12,10,10,10,12,10,10,11.09,11,10.59,0.82,4.72
"Red Chilly Powder, Loose",1 Kg,300,254.17,240,245,247.86,247.5,280,232.5,225,295.48,265,250,235,241.67,243.75,310,300,259.58,258.52,274.03,0.41,-5.27
Garlic,1 Kg,220,165,136.25,142.5,167.86,125,145,155,155,174.62,159.69,140,128.75,180.83,164.38,210,175,161.46,163.07,302.34,-0.99,-46.6
"Tea, Lipton Yellow Label, Packet",200 gm,178.95,178.95,178.95,178.95,178.94,178.95,179,178.95,179,178.95,178.94,178.94,178.94,178.95,205.06,178.94,178.94,180.49,180.49,175.78,0,2.68
"Cooked Beef, Average Hotel",Plate,107.5,104.17,100,62.5,102.86,106.25,100,80,110,93.08,77.5,100,100,120,105,90,140,99.93,98.8,92.61,1.14,7.9
"Cooked Daal, Average Hotel",Plate,78.75,75.83,40,40,67.32,55,50,40,60,61.15,52.5,50,65,60,50,65,80,58.27,58.27,56.91,0,2.39
"Tea Prepared, Average Hotel",Cup,22.5,22.5,20,20,20,22.5,20,20,22.5,21.73,20,25,27.5,15,20,21,20,21.19,21.19,20.28,0,4.49
"Cigarettes, K-2, 20's",Packet,50,50,50,50,50,50,50,50,48,55,50,50,50,55,55,50,50,50.76,50.76,65.54,0,-22.55
"Long Cloth, 57"", (SN)",1 mtr,215,205,137.5,135,267.5,237.5,245,250,180,170.77,240,230,200,333.33,157.5,210,195,212.3,212.3,205.57,0,3.27
"Shirting, (AQ), (SN)",1 mtr,206.25,190,175,175,155,125,150,210,115,166.15,140,120,157.5,300,147.5,160,190,169.55,169.55,164.3,0,3.2
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,200,165,255.77,255.77,251.21,0,1.82
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,140,105,110,121.54,120,125,130,120,100,105,95,125.68,125.68,124.13,0,1.25
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,115,107.5,100,100,100,82,90,85,100,117.98,90,90,115,101.33,95,70,70,95.81,90.36,77.6,6.03,23.47
Firewood Whole,40 Kg,787.5,741.67,700,700,786.79,600,550,690,625,651.92,550,400,450,720.83,500,650,500,623.75,618.81,607.39,0.8,2.69
Energy Saver,Each,167.5,167.5,155,155,170,162.5,180,165,175,180,200,155,180,180,160,180,150,169.56,169.32,167.79,0.14,1.05
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.91,0,0
"Match Box, Regular",Each,2,2,2,2,2.38,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.23,2.21,2.13,0.9,4.69
"Petrol, Super",1 Ltr,77.89,77.89,77.91,79.1,77.83,77.89,78.03,78.35,78.9,77.89,78.25,77.89,78.1,77.89,79.9,77.78,79.9,78.32,76.77,67.04,2.02,16.83
Hi Speed Diesel (HSD),1 Ltr,86.43,86.43,86.44,87.7,86.3,86.43,86.5,86.85,87.7,86.42,86.83,86.43,86.7,86.43,88.7,86.26,89.2,86.93,85.48,76.1,1.7,14.23
"LPG Cylinder, 11kg",Each,1505,1475,1333.75,1430,1375,1375,1362.5,1397.5,1430,1320,1402.5,1388.75,1430,1512.5,1337.5,1350,1193.75,1389.34,1242,1150.12,11.86,20.8
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
